City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,scarborough,54.2797,-0.4044,4.25,82,100,4.92,GB,1678409845
299,dunedin,-45.8742,170.5036,18.22,60,67,1.79,NZ,1678409792
300,mount isa,-20.7333,139.5,22.87,94,100,5.66,AU,1678409809
301,algeciras,36.1333,-5.4505,16.82,88,40,4.12,ES,1678409639
302,morehead,37.2711,-87.1764,10.55,96,100,0.0,US,1678410089
303,pingxiang,27.6167,113.85,20.12,46,7,1.66,CN,1678410089
304,zhigansk,66.7697,123.3711,-15.08,94,100,2.51,RU,1678410026
305,kjollefjord,70.9457,27.3465,-7.97,93,100,5.66,NO,1678410089
306,raudeberg,61.9875,5.1352,-5.58,54,0,2.74,NO,1678410089
307,cherskiy,68.75,161.3,-20.02,92,100,1.86,RU,1678409813
308,ilulissat,69.2167,-51.1,-22.45,91,38,1.66,GL,1678409808
309,gold coast,-28.0,153.4333,31.8,77,100,6.69,AU,1678410090
310,avila,40.5833,-5.0,7.58,83,100,5.62,ES,1678410014
311,paducah,37.0834,-88.6001,11.12,93,100,0.0,US,1678410090
312,elliot lake,46.3834,-82.6331,-3.12,81,100,4.17,CA,1678410090
313,namibe,-15.1961,12.1522,21.61,76,96,2.36,AO,1678409834
314,honiara,-9.4333,159.95,27.12,83,93,0.49,SB,1678410035
315,tauramena,5.0183,-72.7492,24.5,76,99,1.06,CO,1678410090
316,binzhou,37.3667,118.0167,20.27,21,5,5.67,CN,1678410090
317,montbrison,45.6667,4.0833,10.19,77,80,5.0,FR,1678409812
318,fairbanks,64.8378,-147.7164,-3.62,87,100,4.63,US,1678409702
319,nantucket,41.2835,-70.0995,4.52,78,34,7.22,US,1678410028
320,monostorpalyi,47.4,21.7833,9.18,93,0,3.09,HU,1678410091
321,baiyin,36.5583,104.2081,7.43,26,5,2.64,CN,1678410090
322,te anau,-45.4167,167.7167,18.18,41,39,3.27,NZ,1678409807
323,el seibo,18.7641,-69.0375,22.53,66,83,4.92,DO,1678410091
324,praia,14.9215,-23.5087,24.3,53,0,7.2,CV,1678409841
325,arlit,18.7369,7.3853,27.44,11,96,5.6,NE,1678410091
326,lake havasu city,34.4839,-114.3224,23.59,12,0,3.09,US,1678410091
327,abashiri,44.0213,144.2697,3.86,93,100,4.8,JP,1678410092
328,bani walid,31.7566,13.9942,18.07,47,5,2.16,LY,1678410092
329,tambun,-6.2641,107.0712,29.95,89,20,1.54,ID,1678410092
330,egvekinot,66.3167,-179.1667,-10.65,94,100,3.0,RU,1678409849
331,williams lake,52.1415,-122.1445,-1.08,53,97,0.89,CA,1678410092
332,balkhash,46.844,74.9804,-9.66,79,0,8.0,KZ,1678409832
333,columbus,39.9612,-82.9988,9.13,50,0,3.6,US,1678410092
334,gdov,58.7406,27.8122,-17.1,98,34,2.17,RU,1678410092
335,epernay,49.05,3.95,11.06,85,100,9.25,FR,1678410008
336,chipinge,-20.1883,32.6236,18.17,97,100,0.91,ZW,1678410092
337,acapulco,16.8634,-99.8901,25.11,75,0,4.64,MX,1678410093
338,naifaru,5.4444,73.3657,27.62,74,7,7.63,MV,1678410093
339,margate,51.3813,1.3862,9.27,92,100,0.89,GB,1678409659
340,anastacio,-20.4836,-55.8069,23.36,92,56,1.46,BR,1678410093
341,ixtapa,20.7,-105.2,24.01,81,100,1.79,MX,1678410093
342,westport,41.1415,-73.3579,5.97,59,8,2.68,US,1678409826
343,avera,33.194,-82.5271,15.31,59,100,1.33,US,1678409843
344,warri,5.5167,5.75,25.84,89,97,1.5,NG,1678410093
345,aykhal,66.0,111.5,-21.1,97,100,4.62,RU,1678409596
346,elat,29.5581,34.9482,14.91,63,0,2.06,IL,1678409808
347,samfya,-11.3649,29.5565,18.2,93,100,1.65,ZM,1678410094
348,kultuk,51.7208,103.6956,-9.74,91,100,1.06,RU,1678410094
349,hailun,47.45,126.9333,1.22,63,100,5.45,CN,1678410094
350,atar,20.5169,-13.0499,24.01,15,0,3.95,MR,1678409841
351,lazaro cardenas,17.9583,-102.2,24.72,73,15,4.55,MX,1678410043
352,nigde,37.8333,34.75,3.94,79,100,2.53,TR,1678409891
353,divnomorskoye,44.5011,38.1353,9.12,96,97,4.61,RU,1678410094
354,baghdad,33.3406,44.4009,13.95,67,0,2.57,IQ,1678409633
355,general roca,-39.0333,-67.5833,20.9,43,100,6.89,AR,1678410094
356,dauphin,51.1494,-100.0502,-13.55,98,100,1.36,CA,1678410094
357,qena,26.1615,32.7183,17.61,31,0,0.92,EG,1678410095
358,raga,8.4596,25.678,26.12,19,100,1.21,SS,1678409807
359,mangrol,21.1167,70.1167,24.87,38,0,3.87,IN,1678410095
360,belmonte,-15.8631,-38.8828,24.95,87,100,3.87,BR,1678409813
361,tacoaleche,22.8167,-102.4167,19.93,15,75,1.7,MX,1678410095
362,eslov,55.8393,13.3039,0.57,89,100,1.87,SE,1678410095
363,keffi,8.8486,7.8736,28.82,38,97,0.49,NG,1678410095
364,gizo,-8.103,156.8419,27.77,76,100,2.33,SB,1678410096
